Time,Infected,Deaths,Recovered
0,16,0,0
1,16,0,0
2,16,0,0
3,16,0,0
4,17,0,0
5,27,0,0
6,46,0,0
7,48,0,0
8,79,0,0
9,130,0,0
10,159,0,0
11,196,0,0
12,262,0,0
13,482,0,0
14,670,0,0
15,799,0,0
16,1040,0,0
17,1176,2,0
18,1457,2,0
19,1908,3,0
20,2078,3,0
21,3675,7,0
22,4585,9,0
23,5795,11,0
24,7272,17,0
25,9257,24,0
26,12327,28,0
27,15320,44,0
28,19848,67,0
29,22213,84,0
30,24873,94,0
31,29056,123,0
32,32986,157,0
33,37323,206,0
