t,s,i,r,m
125,58958734.210899144,23215.935772266523,951876.6128622529,66173.24046635981
126,58958550.28977437,21792.89497979193,953379.122254871,66277.69299098033
127,58958383.77735978,20451.162804287284,954789.330946608,66375.72888933639
128,58958233.06865455,19186.682215476038,956112.5329365373,66467.71619344912
129,58958096.70110589,17995.53847177237,957353.7559948956,66554.00442745263
130,58957973.34262103,16873.96083723732,958517.7712665389,66634.92527521393
131,58957861.780616604,15818.3232553139,959609.1028797752,66710.7932483266
132,58957760.91183524,14825.14418136346,960632.0376244959,66781.90635892218
133,58957669.73295569,13891.085670263525,961590.6345847537,66848.54678931442
134,58957587.33198834,13012.951805238643,962488.7346530174,66910.98155341831
135,58957512.880297005,12187.686559863978,963329.9699888373,66969.46315430419
136,58957445.62533698,11412.371209817513,964117.7732287501,67024.23022445856
137,58957384.883925386,10684.221315805902,964855.3865994966,67075.50815932329
138,58957330.03610225,10000.58341455429,965545.8707518008,67123.50973140862
139,58957280.51949304,9358.931419953517,966192.1133963554,67168.43569065572
140,58957235.82414192,8756.862813488733,966796.8376967054,67210.47534789931
141,58957195.48779569,8192.094705889966,967362.6103610406,67249.80713739854
142,58957159.0915773,7662.459726008954,967891.8495314212,67286.59916528597
143,58957126.25604205,7165.901894946046,968386.8323289239,67321.0097340963
144,58957096.637572914,6700.47239783228,968849.7021773661,67353.18785190246
145,58957069.925090685,6264.32538446447,969282.4758057513,67383.27371911639
146,58957045.83705534,5855.713764059718,969687.0499838755,67411.39919673999
147,58957024.11873323,5472.985020326687,970065.207990441,67437.68825601996
148,58957004.53970365,5114.577116624253,970418.6257730613,67462.25740668339
149,58956986.89159698,4779.014417894118,970748.8778761153,67485.21610903475
150,58956970.98602687,4464.903747514751,971057.4430609773,67506.66716466687
151,58956956.65271723,4170.930501244723,971345.7096907492,67526.70709080074
152,58956943.737795785,3895.8548780119145,971614.9808500258,67545.426476205
153,58956932.1022458,3638.5082140912573,971866.4792200339,67562.9103201093
154,58956921.620498575,3397.7894378671563,972101.3517094553,67579.23835413325
155,58956912.17915433,3172.6616488325585,972320.6738490774,67594.48534779683
156,58956903.67582579,2962.1488031488375,972525.4539719697,67608.72139912088
157,58956896.01808392,2765.3325392321667,972716.637167384,67622.01220949728
158,58956889.12250772,2581.34911365836,972895.1090340418,67634.41934461253
159,58956882.91381644,2409.3864779164833,973061.6992248105,67646.00048086917
160,58956877.32408978,2248.6814621594626,973217.184808969,67656.8096391262
161,58956872.29205619,2098.517095827212,973362.2934428994,67666.89740512133
162,58956867.76245235,1958.220039296149,973497.7063703522,67676.31113804587
163,58956863.68544078,1827.158137632759,973624.0612542261,67685.09516740609
164,58956860.01608387,1704.7380881572287,973741.9548491994,67693.29097882134
165,58956856.71386846,1590.4032207645344,973851.9455216108,67700.9373892029
166,58956853.742274195,1483.6313908852821,973954.5556231904,67708.0707117726
167,58956851.068385795,1383.9329713550844,974050.2737310992,67714.72491178763
168,58956848.66253926,1290.848952712812,974139.5567550383,67720.93175302405
169,58956846.49800574,1203.949136836505,974222.8319217279,67726.7209357351
170,58956844.550702386,1122.8304305788927,974300.4986407192,67732.12022636014
171,58956842.79893417,1047.115225443037,974372.9302608018,67737.15557962793
172,58956841.22315837,976.4498684220279,974440.4757199913,67741.85125326141
173,58956839.80577345,910.5032142251277,974503.4610965691,67746.22991580427
174,58956838.530927666,848.9652580235157,974562.1910664254,67750.31274793332
175,58956837.384346396,791.5458444756853,974616.9502715846,67754.11953759678
176,58956836.35317638,737.9734498665223,974668.0046045023,67757.66876929696
177,58956835.42584492,687.9940337099957,974715.6024135214,67760.97770789186
178,58956834.59193604,641.3699520134595,974759.9756347168,67764.06247727977
179,58956833.84207187,597.8789425383184,974801.3408515734,67766.93813406659
180,58956833.167810164,557.3131632156553,974839.9002899338,67769.61873673336
181,58956832.56155591,519.47828146026,974875.8427521097,67772.11741057447
182,58956832.01647218,484.19263278728465,974909.3444868971,67774.44640818001
183,58956831.52640572,451.28641575713834,974940.5700119655,67776.61716660722
184,58956831.085819125,420.6009355162347,974969.6728844614,67778.64036095185
185,58956830.689732514,391.98790797610366,974996.7964061943,67780.52595337179
186,58956830.33366388,365.3087871386026,975022.0743083463,67782.28324068716
187,58956830.0135781,340.4341401018337,975045.6313835271,67783.92089832007
188,58956829.72584909,317.2430716093361,975067.5840591958,67785.447020158
189,58956829.46721536,295.62266948358615,975088.0409577197,67786.86915748853
190,58956829.23474266,275.4674883384062,975107.1034140659,67788.19435498855
191,58956829.02579026,256.67906472263115,975124.8659606357,67789.42918442922
192,58956828.83798246,239.16546562288244,975141.4167760806,67790.57977587725
193,58956828.66918504,222.84086943158837,975156.8380991078,67791.65184646203
194,58956828.51747789,207.6251619258274,975171.2066318138,67792.65072841485
195,58956828.381134294,193.44356554247167,975184.593905693,67793.58139451341
196,58956828.2586011,180.2262886801989,975197.066628103,67794.44848216759
197,58956828.148481965,167.908200587779,975208.6870018566,67795.25631563709
198,58956828.04952164,156.42852481239504,975219.5130266146,67796.0089269839
199,58956827.96059112,145.73055124026797,975229.5987819353,67796.7100757495
200,58956827.88067577,135.76137123886144,975238.994686088,67797.36326694729
201,58956827.808863,126.47162367158053,975247.7477450013,67797.97176836907
202,58956827.74433267,117.81526197307711,975255.9017790437,67798.53862635064
203,58956827.686347365,109.74933303670579,975263.4976388708,67799.06668077712
204,58956827.63424415,102.2337731212035,975270.5734038962,67799.55857888047
205,58956827.58742726,95.23121650748166,975277.1645681228,67800.01678815827
206,58956827.54536097,88.70681439186384,975283.304216085,67800.44360860482
207,58956827.50756394,82.62806897685536,975289.0231832677,67800.84118386352
208,58956827.47360337,76.96467490611366,975294.3502098599,67801.21151191539
209,58956827.44309035,71.68837441055773,975299.3120804973,67801.55645479393
210,58956827.415675305,66.77281941209812,975303.9337574898,67801.87774784688
211,58956827.39104401,62.19344392289376,975308.2385038247,67802.17700828727
212,58956827.36891417,57.9273453553105,975312.2479973873,67802.45574313388
213,58956827.349031955,53.9531717391101,975315.9824395935,67802.71535676318
214,58956827.33116935,50.25101887217556,975319.460654059,67802.9571577688
215,58956827.31512138,46.80233178822814,975322.7001813338,67803.18236554725
216,58956827.30070388,43.58981499803542,975325.717364893,67803.39211627598
217,58956827.287751354,40.59734726263115,975328.5274328382,67803.58746859303
218,58956827.27611505,37.809902297430355,975331.1445738245,67803.7694088755
219,58956827.26566136,35.21347554350534,975333.5820070447,67803.93885610471
220,58956827.256270155,32.79501432156222,975335.8520490639,67804.09666651246
221,58956827.24783355,30.542354470303106,975337.9661742463,67804.24363778182
222,58956827.24025459,28.444159484882018,975339.9350728927,67804.38051308879
223,58956827.23344613,26.489865039049675,975341.7687041045,67804.5079847773
224,58956827.22732992,24.669626603274843,975343.4763457021,67804.62669782955
225,58956827.22183559,22.974270435514352,975345.066640909,67804.7372531113
226,58956827.21689998,21.395248619901704,975346.5476410988,67804.84021034377
227,58956827.21246631,19.92459598785212,975347.9268468046,67804.93609095432
228,58956827.20848355,18.55489118918174,975349.211244677,67805.02538064598
229,58956827.20490587,17.27921931296893,975350.4073430146,67805.10853186733
230,58956827.20169208,16.091137698263953,975351.5212042074,67805.18596606789
231,58956827.19880522,14.984643862308097,975352.5584751626,67805.25807581344
232,58956827.19621202,13.954145323964239,975353.5244159327,67805.32522677607
233,58956827.19388265,12.994432092634112,975354.4239257711,67805.38775954557
234,58956827.19179025,12.100650203578411,975355.2615682221,67805.44599137372
235,58956827.189910755,11.26827783726432,975356.0415937168,67805.50021774502
236,58956827.18822249,10.493102458302683,975356.7679612202,67805.5507138816
237,58956827.18670602,9.771199802682155,975357.4443581059,67805.59773612501
238,58956827.18534386,9.098914303166174,975358.0742186641,67805.64152322263
239,58956827.18412033,8.47284055746709,975358.6607416254,67805.68229754614
240,58956827.18302131,7.889806527281556,975359.206906027,67805.72026619439
241,58956827.182034135,7.3468573403952115,975359.7154865206,67805.75562205756
242,58956827.18114744,6.841240661484015,975360.189067178,67805.78854477707
243,58956827.180351,6.370392751491788,975360.6300546532,67805.81920166039
244,58956827.179635614,5.93192557896385,975361.0406903421,67805.84774852644
245,58956827.178993054,5.523614903398489,975361.4230616206,67805.87433048699
246,58956827.178415895,5.1433889191320805,975361.7791125566,67805.8990826911
247,58956827.17789749,4.789318006837509,975362.1106535665,67805.92213099661
248,58956827.17743187,4.459604849252022,975362.4193707333,67805.94359261781
249,58956827.177013636,4.152575480361427,975362.706834236,67805.9635767116
250,58956827.176637985,3.8666708035505626,975362.9745063412,67805.98218493281
251,58956827.17630058,3.600438698038679,975363.2237488338,67805.99951195101
252,58956827.175997525,3.3525267759458766,975363.4558298355,67806.01564592439
253,58956827.175725326,3.1216754382201874,975363.6719303415,67806.03066895422
254,58956827.17548084,2.9067116276791163,975363.8731500963,67806.04465749332
255,58956827.17526125,2.7065428112907695,975364.0605132565,67806.05768273975
256,58956827.17506402,2.520151508712709,975364.2349735353,67806.06981099442
257,58956827.17488687,2.346590140753222,975364.3974190474,67806.08110399795
258,58956827.17472776,2.1849762021119026,975364.5486768472,67806.09161924606
259,58956827.17458486,2.034487861277095,975364.6895170641,67806.10141027719
260,58956827.1744565,1.89435972453872,975364.8206568839,67806.11052694914
261,58956827.17434122,1.7638790290550999,975364.9427641245,67806.1190156878
262,58956827.17423767,1.6423819859420397,975365.0564606732,67806.12691972595
263,58956827.17414467,1.5292504378365246,975365.1623256251,67806.13427932153
264,58956827.17406114,1.4239087342690064,975365.2608982165,67806.14113196157
265,58956827.173986115,1.3258207833348299,975365.3526805956,67806.14751255477
266,58956827.17391874,1.2344873791738962,975365.4381403298,67806.1534536058
267,58956827.173858225,1.149443623106059,975365.5177128265,67806.15898538365
268,58956827.173803866,1.0702566038711057,975365.5918035113,67806.16413607297
269,58956827.17375505,0.9965231786794604,975365.6607899097,67806.16893191886
270,58956827.1737112,0.9278679323607779,975365.7250235617,67806.1733973599
271,58956827.17367183,0.8639412840137849,975365.7848317991,67806.17755515181
272,58956827.17363645,0.8044176882214988,975365.840519432,67806.18142648456
273,58956827.17360468,0.7489940119518927,975365.8923702716,67806.18503108839
274,58956827.17357615,0.6973879670876417,975365.9406486005,67806.18838733586
275,58956827.173550524,0.6493366968627415,975365.985600498,67806.19151233409
276,58956827.17352751,0.6045954310508146,975366.0274551008,67806.19442201236
277,58956827.17350683,0.5629362403680077,975366.0664257716,67806.19713120337
278,58956827.17348827,0.5241468900084139,975366.1027111728,67806.19965371788
279,58956827.17347159,0.4880297432126667,975366.1364962956,67806.20200241628
