,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Mar 24 2019,,2834.40,,2796.01,,2836.03,,2785.02,,-,,1.20%,
,Mar 17 2019,,2800.71,,2822.61,,2860.31,,2800.47,,-,,-0.77%,
,Mar 10 2019,,2822.48,,2747.61,,2830.73,,2747.61,,-,,2.89%,
,Mar 03 2019,,2743.07,,2814.37,,2816.88,,2722.27,,-,,-2.16%,
,Feb 24 2019,,2803.69,,2804.35,,2813.49,,2775.13,,-,,0.39%,
,Feb 17 2019,,2792.67,,2769.28,,2794.20,,2764.55,,-,,0.61%,
,Feb 10 2019,,2775.60,,2712.40,,2775.66,,2703.79,,-,,2.50%,
,Feb 03 2019,,2707.88,,2706.49,,2738.98,,2681.83,,-,,0.05%,
,Jan 27 2019,,2706.53,,2644.97,,2716.66,,2624.06,,-,,1.57%,
,Jan 20 2019,,2664.76,,2657.88,,2672.38,,2612.86,,-,,-0.22%,
,Jan 13 2019,,2670.71,,2580.31,,2675.47,,2570.41,,-,,2.87%,
,Jan 06 2019,,2596.26,,2535.61,,2597.82,,2524.56,,-,,2.54%,
,Dec 30 2018,,2531.94,,2498.94,,2538.07,,2443.96,,-,,1.86%,
,Dec 23 2018,,2485.74,,2400.56,,2520.27,,2346.58,,-,,2.86%,
,Dec 16 2018,,2416.62,,2590.75,,2601.13,,2408.55,,-,,-7.05%,
,Dec 09 2018,,2599.95,,2630.86,,2685.44,,2583.23,,-,,-1.26%,
,Dec 02 2018,,2633.08,,2790.50,,2800.18,,2621.53,,-,,-4.60%,
,Nov 25 2018,,2760.17,,2649.97,,2760.88,,2649.97,,-,,4.85%,
,Nov 18 2018,,2632.56,,2730.74,,2733.16,,2631.09,,-,,-3.79%,
,Nov 11 2018,,2736.27,,2773.93,,2775.99,,2670.75,,-,,-1.61%,
,Nov 04 2018,,2781.01,,2726.37,,2815.15,,2717.94,,-,,2.13%,
,Oct 28 2018,,2723.06,,2682.65,,2756.55,,2603.54,,-,,2.42%,
,Oct 21 2018,,2658.69,,2773.94,,2778.94,,2628.16,,-,,-3.94%,
,Oct 14 2018,,2767.78,,2763.83,,2816.94,,2749.03,,-,,0.02%,
,Oct 07 2018,,2767.13,,2877.53,,2894.83,,2710.51,,-,,-4.10%,
,Sep 30 2018,,2885.57,,2926.29,,2939.86,,2869.29,,-,,-0.97%,
,Sep 23 2018,,2913.98,,2921.83,,2931.15,,2903.28,,-,,-0.54%,
,Sep 16 2018,,2929.67,,2903.83,,2940.91,,2886.16,,-,,0.85%,
,Sep 09 2018,,2904.98,,2881.39,,2908.30,,2866.78,,-,,1.16%,
,Sep 02 2018,,2871.68,,2896.96,,2900.18,,2864.12,,-,,-1.03%,
,Aug 26 2018,,2901.52,,2884.69,,2916.50,,2884.69,,-,,0.93%,
,Aug 19 2018,,2874.69,,2853.93,,2876.16,,2850.62,,-,,0.86%,
,Aug 12 2018,,2850.13,,2835.46,,2855.63,,2802.49,,-,,0.59%,
,Aug 05 2018,,2833.28,,2840.29,,2863.43,,2825.81,,-,,-0.25%,
,Jul 29 2018,,2840.35,,2819.00,,2840.38,,2796.34,,-,,0.76%,
,Jul 22 2018,,2818.82,,2799.17,,2848.03,,2795.14,,-,,0.61%,
,Jul 15 2018,,2801.83,,2801.43,,2816.76,,2789.24,,-,,0.02%,
,Jul 08 2018,,2801.31,,2768.51,,2804.53,,2768.51,,-,,1.50%,
,Jul 01 2018,,2759.82,,2704.95,,2764.41,,2698.95,,-,,1.52%,
,Jun 24 2018,,2718.37,,2742.94,,2746.09,,2691.99,,-,,-1.33%,
,Jun 17 2018,,2754.88,,2765.79,,2774.99,,2743.19,,-,,-0.89%,
,Jun 10 2018,,2779.66,,2780.18,,2791.47,,2761.73,,-,,0.02%,
,Jun 03 2018,,2779.03,,2741.67,,2779.90,,2739.51,,-,,1.62%,
,May 27 2018,,2734.62,,2705.11,,2736.93,,2676.81,,-,,0.49%,
,May 20 2018,,2721.33,,2725.95,,2742.24,,2707.38,,-,,0.31%,
