,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Sep 09 2018,,483.40,,483.94,,483.94,,483.40,,-,,-0.31%,
,Sep 02 2018,,484.89,,485.41,,485.41,,484.38,,-,,-0.01%,
,Aug 26 2018,,484.93,,484.80,,484.93,,484.16,,-,,-0.09%,
,Aug 19 2018,,485.37,,486.40,,486.40,,485.18,,-,,-0.26%,
,Aug 12 2018,,486.63,,486.03,,486.63,,485.88,,-,,0.23%,
,Aug 05 2018,,485.49,,484.03,,485.49,,484.03,,-,,0.37%,
,Jul 29 2018,,483.71,,483.46,,483.71,,482.73,,-,,-0.10%,
,Jul 22 2018,,484.17,,484.78,,484.80,,484.17,,-,,-0.33%,
,Jul 15 2018,,485.79,,485.59,,485.79,,485.38,,-,,-0.05%,
,Jul 08 2018,,486.01,,485.30,,486.01,,485.06,,-,,0.09%,
,Jul 01 2018,,485.55,,485.58,,485.78,,484.77,,-,,0.16%,
,Jun 24 2018,,484.77,,485.36,,485.53,,484.77,,-,,-0.04%,
,Jun 17 2018,,484.95,,483.78,,484.95,,483.78,,-,,0.27%,
,Jun 10 2018,,483.63,,482.16,,483.63,,481.16,,-,,0.08%,
,Jun 03 2018,,483.23,,483.44,,483.44,,481.13,,-,,-0.12%,
,May 27 2018,,483.83,,483.64,,487.91,,483.64,,-,,0.29%,
,May 20 2018,,482.45,,480.16,,482.45,,480.16,,-,,0.79%,
,May 13 2018,,478.67,,478.93,,478.93,,478.55,,-,,-0.30%,
,May 06 2018,,480.10,,480.22,,480.22,,479.38,,-,,-0.04%,
,Apr 29 2018,,480.28,,479.42,,480.28,,479.34,,-,,0.14%,
,Apr 22 2018,,479.61,,478.29,,479.61,,478.18,,-,,0.12%,
,Apr 15 2018,,479.03,,480.04,,480.84,,479.03,,-,,-0.29%,
,Apr 08 2018,,480.41,,480.83,,480.83,,480.41,,-,,-0.06%,
,Apr 01 2018,,480.70,,481.16,,481.16,,480.40,,-,,-0.05%,
,Mar 25 2018,,480.92,,480.13,,481.33,,480.13,,-,,0.09%,
,Mar 18 2018,,480.47,,479.54,,480.47,,479.00,,-,,0.18%,
,Mar 11 2018,,479.62,,478.06,,479.62,,478.06,,-,,0.41%,
,Mar 04 2018,,477.65,,477.80,,477.80,,477.06,,-,,-0.10%,
,Feb 25 2018,,478.14,,476.96,,478.14,,476.65,,-,,0.29%,
,Feb 18 2018,,476.78,,475.50,,476.78,,475.30,,-,,0.33%,
,Feb 11 2018,,475.21,,474.74,,475.49,,474.42,,-,,0.03%,
,Feb 04 2018,,475.05,,475.37,,476.55,,475.01,,-,,-0.03%,
,Jan 28 2018,,475.20,,476.20,,476.34,,475.20,,-,,-0.54%,
,Jan 21 2018,,477.79,,478.61,,479.19,,477.79,,-,,-0.19%,
,Jan 14 2018,,478.71,,478.77,,478.99,,478.38,,-,,0.04%,
,Jan 07 2018,,478.50,,480.67,,480.67,,478.50,,-,,-0.44%,
,Dec 31 2017,,480.62,,480.51,,480.62,,480.28,,-,,-0.01%,
,Dec 24 2017,,480.68,,481.09,,481.09,,480.68,,-,,-0.09%,
,Dec 17 2017,,481.11,,483.81,,483.81,,481.11,,-,,-0.64%,
,Dec 10 2017,,484.21,,484.63,,484.63,,483.75,,-,,-0.06%,
,Dec 03 2017,,484.51,,483.73,,484.75,,483.73,,-,,0.17%,
,Nov 26 2017,,483.67,,483.36,,484.00,,482.90,,-,,0.10%,
,Nov 19 2017,,483.20,,483.96,,484.20,,483.20,,-,,-0.09%,
,Nov 12 2017,,483.62,,483.73,,484.06,,483.21,,-,,0.00%,
,Nov 05 2017,,483.61,,484.71,,485.06,,483.61,,-,,-0.12%,
,Oct 29 2017,,484.21,,484.08,,484.21,,483.79,,-,,0.13%,
,Oct 22 2017,,483.60,,482.99,,483.60,,481.82,,-,,0.15%,
,Oct 15 2017,,482.86,,483.77,,484.32,,482.86,,-,,-0.06%,
,Oct 08 2017,,483.16,,482.37,,483.16,,482.37,,-,,0.30%,
,Oct 01 2017,,481.72,,482.30,,482.70,,481.72,,-,,-0.15%,
,Sep 24 2017,,482.44,,482.93,,483.28,,481.52,,-,,0.11%,
,Sep 17 2017,,481.91,,482.74,,482.74,,481.82,,-,,-0.27%,
,Sep 10 2017,,483.20,,485.12,,485.12,,483.20,,-,,-0.42%,
,Sep 03 2017,,485.25,,484.62,,485.25,,484.37,,-,,0.14%,
,Aug 27 2017,,484.57,,483.97,,485.32,,483.97,,-,,0.20%,
,Aug 20 2017,,483.59,,483.19,,483.79,,483.13,,-,,0.06%,
,Aug 13 2017,,483.29,,482.69,,483.29,,482.15,,-,,-0.04%,
,Aug 06 2017,,483.49,,481.48,,483.49,,481.48,,-,,0.30%,
,Jul 30 2017,,482.06,,480.60,,482.06,,480.60,,-,,0.41%,
,Jul 23 2017,,480.10,,481.27,,481.27,,480.10,,-,,-0.18%,
,Jul 16 2017,,480.96,,479.42,,480.96,,479.42,,-,,0.34%,
,Jul 09 2017,,479.31,,478.90,,479.57,,478.36,,-,,0.18%,
,Jul 02 2017,,478.43,,480.12,,480.30,,478.43,,-,,-0.41%,
,Jun 25 2017,,480.42,,483.89,,483.89,,480.42,,-,,-0.68%,
,Jun 18 2017,,483.73,,483.91,,484.33,,483.73,,-,,0.11%,
,Jun 11 2017,,483.18,,484.97,,484.97,,483.18,,-,,-0.33%,
,Jun 04 2017,,484.79,,484.73,,484.90,,484.34,,-,,0.07%,
,May 28 2017,,484.43,,483.72,,484.43,,483.72,,-,,0.22%,
,May 21 2017,,483.38,,482.60,,483.38,,481.85,,-,,0.11%,
