,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Jul 24 2016,,1721.79,,1707.71,,1723.25,,1700.50,,-,,0.87%,
,Jul 17 2016,,1706.97,,1700.62,,1710.75,,1696.32,,-,,0.38%,
,Jul 10 2016,,1700.57,,1663.54,,1706.76,,1663.54,,-,,2.30%,
,Jul 03 2016,,1662.32,,1659.70,,1664.10,,1625.74,,-,,0.12%,
,Jun 26 2016,,1660.26,,1604.91,,1663.59,,1566.70,,-,,3.20%,
,Jun 19 2016,,1608.79,,1641.55,,1692.86,,1606.02,,-,,-1.65%,
,Jun 12 2016,,1635.78,,1661.70,,1661.78,,1611.01,,-,,-1.77%,
,Jun 05 2016,,1665.22,,1677.00,,1700.75,,1660.75,,-,,-0.80%,
,May 29 2016,,1678.58,,1675.20,,1681.81,,1664.04,,-,,0.15%,
,May 22 2016,,1676.07,,1639.79,,1676.07,,1631.93,,-,,2.21%,
,May 15 2016,,1639.85,,1636.26,,1655.19,,1620.60,,-,,0.24%,
,May 08 2016,,1635.92,,1642.28,,1664.46,,1635.08,,-,,-0.44%,
,May 01 2016,,1643.19,,1670.78,,1679.07,,1633.20,,-,,-1.65%,
,Apr 24 2016,,1670.80,,1686.54,,1692.37,,1663.71,,-,,-0.91%,
,Apr 17 2016,,1686.17,,1670.15,,1698.15,,1659.83,,-,,0.94%,
,Apr 10 2016,,1670.47,,1631.67,,1674.47,,1628.31,,-,,2.34%,
,Apr 03 2016,,1632.20,,1642.30,,1646.29,,1616.76,,-,,-0.48%,
,Mar 27 2016,,1640.14,,1623.15,,1657.84,,1620.12,,-,,1.01%,
,Mar 20 2016,,1623.71,,1644.18,,1645.95,,1614.82,,-,,-1.33%,
,Mar 13 2016,,1645.57,,1626.14,,1647.27,,1612.80,,-,,1.19%,
,Mar 06 2016,,1626.17,,1608.07,,1626.17,,1588.76,,-,,1.13%,
,Feb 28 2016,,1608.04,,1554.43,,1612.30,,1546.59,,-,,3.45%,
,Feb 21 2016,,1554.47,,1539.35,,1564.28,,1513.36,,-,,1.06%,
,Feb 14 2016,,1538.17,,1486.49,,1551.92,,1486.27,,-,,3.48%,
,Feb 07 2016,,1486.45,,1523.82,,1526.76,,1459.79,,-,,-2.46%,
,Jan 31 2016,,1523.87,,1562.73,,1570.93,,1516.86,,-,,-2.45%,
,Jan 24 2016,,1562.18,,1535.31,,1563.38,,1511.22,,-,,1.65%,
,Jan 17 2016,,1536.79,,1519.14,,1538.64,,1468.36,,-,,1.04%,
,Jan 10 2016,,1521.00,,1562.65,,1578.00,,1509.69,,-,,-2.59%,
,Jan 03 2016,,1561.47,,1663.05,,1663.16,,1560.29,,-,,-6.09%,
,Dec 27 2015,,1662.79,,1673.97,,1688.34,,1662.79,,-,,-0.63%,
,Dec 20 2015,,1673.30,,1634.25,,1676.75,,1632.11,,-,,2.42%,
,Dec 13 2015,,1633.75,,1636.51,,1677.64,,1619.67,,-,,-0.25%,
,Dec 06 2015,,1637.83,,1694.52,,1698.68,,1636.29,,-,,-3.36%,
,Nov 29 2015,,1694.78,,1699.92,,1712.41,,1672.97,,-,,-0.32%,
,Nov 22 2015,,1700.29,,1701.42,,1703.90,,1684.66,,-,,-0.15%,
,Nov 15 2015,,1702.83,,1655.29,,1708.80,,1649.47,,-,,2.93%,
,Nov 08 2015,,1654.30,,1703.65,,1707.48,,1654.30,,-,,-2.94%,
,Nov 01 2015,,1704.39,,1705.70,,1723.81,,1696.05,,-,,-0.08%,
,Oct 25 2015,,1705.80,,1705.69,,1714.13,,1691.98,,-,,-0.05%,
,Oct 18 2015,,1706.61,,1682.61,,1708.49,,1669.55,,-,,1.37%,
,Oct 11 2015,,1683.55,,1673.87,,1683.55,,1652.86,,-,,0.58%,
,Oct 04 2015,,1673.77,,1605.22,,1677.38,,1605.22,,-,,4.15%,
,Sep 27 2015,,1607.13,,1595.46,,1607.13,,1545.51,,-,,0.78%,
,Sep 20 2015,,1594.70,,1626.70,,1637.45,,1574.29,,-,,-2.21%,
,Sep 13 2015,,1630.69,,1629.88,,1672.38,,1618.45,,-,,0.23%,
,Sep 06 2015,,1626.99,,1595.61,,1654.70,,1594.17,,-,,1.96%,
,Aug 30 2015,,1595.71,,1656.97,,1657.55,,1592.09,,-,,-3.76%,
,Aug 23 2015,,1658.07,,1651.72,,1659.10,,1571.07,,-,,0.43%,
,Aug 16 2015,,1650.96,,1744.16,,1749.95,,1650.96,,-,,-5.33%,
,Aug 09 2015,,1743.89,,1747.06,,1769.99,,1724.08,,-,,-0.20%,
,Aug 02 2015,,1747.34,,1762.49,,1769.76,,1742.94,,-,,-1.03%,
