0,1,2,3,4,5,6,7,8
69,0.07999999999999996,26.82,335.25000000000017,0.0,10.0,0.0,30.0,60.0
70,0.49,21.84,44.57142857142857,0.0,10.0,0.0,40.0,50.0
71,0.87,16.65,19.137931034482758,0.0,10.0,0.0,50.0,40.0
72,1.2399999999999998,14.02,11.306451612903228,0.0,10.0,0.0,60.0,30.0
73,1.58,14.49,9.170886075949367,0.0,10.0,0.0,70.0,20.0
74,1.9100000000000001,14.97,7.837696335078534,0.0,10.0,0.0,80.0,10.0
75,2.21,15.59,7.0542986425339365,0.0,10.0,0.0,90.0,0.0
76,-0.6000000000000001,35.64,59.39999999999999,0.0,10.0,10.0,0.0,80.0
77,-0.15000000000000002,30.74,204.93333333333328,0.0,10.0,10.0,10.0,70.0
78,0.28,25.92,92.57142857142857,0.0,10.0,10.0,20.0,60.0
79,0.68,20.89,30.720588235294116,0.0,10.0,10.0,30.0,50.0
80,1.0699999999999998,15.64,14.616822429906545,0.0,10.0,10.0,40.0,40.0
81,1.4300000000000002,13.13,9.181818181818182,0.0,10.0,10.0,50.0,30.0
82,1.77,13.59,7.677966101694915,0.0,10.0,10.0,60.0,20.0
83,2.1,14.07,6.7,0.0,10.0,10.0,70.0,10.0
84,2.4,14.67,6.1125,0.0,10.0,10.0,80.0,0.0
85,0.03999999999999998,29.88,747.0000000000003,0.0,10.0,20.0,0.0,70.0
86,0.47,25.01,53.21276595744681,0.0,10.0,20.0,10.0,60.0
87,0.88,19.93,22.647727272727273,0.0,10.0,20.0,20.0,50.0
88,1.2599999999999998,14.63,11.611111111111114,0.0,10.0,20.0,30.0,40.0
89,1.62,12.25,7.561728395061728,0.0,10.0,20.0,40.0,30.0
90,1.9700000000000002,12.71,6.451776649746193,0.0,10.0,20.0,50.0,20.0
91,2.29,13.17,5.751091703056768,0.0,10.0,20.0,60.0,10.0
92,2.6,13.74,5.2846153846153845,0.0,10.0,20.0,70.0,0.0
93,0.66,24.09,36.5,0.0,10.0,30.0,0.0,60.0
94,1.0699999999999998,18.96,17.719626168224302,0.0,10.0,30.0,10.0,50.0
95,1.4500000000000002,13.69,9.441379310344827,0.0,10.0,30.0,20.0,40.0
96,1.81,11.37,6.281767955801104,0.0,10.0,30.0,30.0,30.0
97,2.16,11.82,5.472222222222222,0.0,10.0,30.0,40.0,20.0
98,2.48,12.27,4.94758064516129,0.0,10.0,30.0,50.0,10.0
99,2.79,12.82,4.594982078853047,0.0,10.0,30.0,60.0,0.0
100,1.2599999999999998,17.98,14.269841269841272,0.0,10.0,40.0,0.0,50.0
101,1.6400000000000001,13.6,8.292682926829267,0.0,10.0,40.0,10.0,40.0
102,2.0100000000000002,10.49,5.218905472636815,0.0,10.0,40.0,20.0,30.0
103,2.35,10.93,4.651063829787233,0.0,10.0,40.0,30.0,20.0
104,2.67,11.39,4.265917602996255,0.0,10.0,40.0,40.0,10.0
105,2.98,11.9,3.993288590604027,0.0,10.0,40.0,50.0,0.0
106,1.83,13.52,7.387978142076502,0.0,10.0,50.0,0.0,40.0
107,2.2,10.29,4.677272727272727,0.0,10.0,50.0,10.0,30.0
108,2.54,10.05,3.956692913385827,0.0,10.0,50.0,20.0,20.0
109,2.86,10.5,3.6713286713286717,0.0,10.0,50.0,30.0,10.0
110,3.17,10.98,3.463722397476341,0.0,10.0,50.0,40.0,0.0
111,2.39,10.3,4.309623430962343,0.0,10.0,60.0,0.0,30.0
112,2.73,9.17,3.358974358974359,0.0,10.0,60.0,10.0,20.0
113,3.0500000000000003,9.62,3.154098360655737,0.0,10.0,60.0,20.0,10.0
114,3.35,10.07,3.005970149253731,0.0,10.0,60.0,30.0,0.0
115,2.92,8.33,2.8527397260273974,0.0,10.0,70.0,0.0,20.0
116,3.24,8.73,2.694444444444444,0.0,10.0,70.0,10.0,10.0
117,3.54,9.18,2.5932203389830506,0.0,10.0,70.0,20.0,0.0
118,3.43,7.85,2.2886297376093294,0.0,10.0,80.0,0.0,10.0
119,3.73,8.29,2.222520107238606,0.0,10.0,80.0,10.0,0.0
120,3.9200000000000004,7.43,1.895408163265306,0.0,10.0,90.0,0.0,0.0
121,-0.93,38.17,41.04301075268817,0.0,20.0,0.0,0.0,80.0
122,-0.47000000000000003,33.54,71.36170212765957,0.0,20.0,0.0,10.0,70.0
123,-0.030000000000000027,28.69,956.3333333333326,0.0,20.0,0.0,20.0,60.0
124,0.39,23.93,61.35897435897436,0.0,20.0,0.0,30.0,50.0
125,0.7899999999999999,19.03,24.08860759493671,0.0,20.0,0.0,40.0,40.0
126,1.17,15.4,13.162393162393164,0.0,20.0,0.0,50.0,30.0
127,1.52,15.87,10.44078947368421,0.0,20.0,0.0,60.0,20.0
128,1.8599999999999999,16.53,8.88709677419355,0.0,20.0,0.0,70.0,10.0
129,2.17,17.19,7.921658986175116,0.0,20.0,0.0,80.0,0.0
130,-0.27,32.71,121.14814814814814,0.0,20.0,10.0,0.0,70.0
131,0.16999999999999993,27.8,163.52941176470594,0.0,20.0,10.0,10.0,60.0
132,0.59,22.99,38.96610169491525,0.0,20.0,10.0,20.0,50.0
133,0.9799999999999999,18.04,18.408163265306126,0.0,20.0,10.0,30.0,40.0
134,1.3599999999999999,14.51,10.669117647058824,0.0,20.0,10.0,40.0,30.0
