t,s,i,r
59,56425015.550693035,1688590.70773051,1886393.741576464
60,56279292.55866697,1712804.1983267546,2007903.2430062909
61,56137249.84322235,1731794.5019382401,2130955.6548394235
62,55999221.03237308,1745599.9947447975,2255178.9728821414
63,55865488.702951156,1754305.6719028652,2380205.625145995
64,55736285.70731186,1758038.650924415,2505675.641763741
65,55611797.106567495,1756963.3972465876,2631239.496185935
66,55492162.59568732,1751276.80729339,2756560.597019306
67,55377479.31106419,1741203.2612458102,2881317.427690018
68,55267804.91548646,1726989.7494776421,3005205.335035905
69,54499589.26054254,2350654.0999422073,3149756.639515246
70,53474223.8080005,3179874.024207733,3345902.167791776
71,52123264.55641193,4266581.770346614,3610153.6732414635
72,50373342.012473114,5663843.964555808,3962814.0229710755
73,48155745.489485584,7416500.920585086,4427753.589929324
74,45421854.9164934,9546807.217505632,5031337.866000958
75,42162979.166086376,12036827.796631267,5800193.037282349
76,38429269.713990696,14812982.985629782,6757747.300379514
77,34338774.82898757,17741231.080752842,7919994.090259575
78,30068102.301536158,20640368.70159226,9291528.996871574
79,25823188.32271766,23313592.246879853,10863219.430402473
80,21799434.135745887,25588064.089353543,12612501.774900548
81,18146889.831547756,27346789.296897568,14506320.871554658
82,14952698.884621,28541592.39563232,16505708.719746662
83,12242884.858506855,29186550.422273125,18570564.719220005
84,9996954.404386865,29339560.516015295,20663485.079597823
85,8166408.909524212,29081453.167441394,22752137.923034377
86,6690807.284846769,28498933.792740338,24810258.922412872
87,5508834.76275664,27673525.20759113,26817640.029652204
88,4564520.081669006,26675949.27319682,28759530.64513415
89,3809880.4054975454,25564335.119793188,30625784.474709243
90,3205376.3765134173,24384657.172069564,32409966.451417
91,2719237.6571830036,23172228.17224228,34108534.17057469
92,2326335.567355226,21953523.49127719,35720140.94136755
93,2006978.6974983653,20747952.439385388,37245068.86311621
94,1745809.4826897865,19569409.510278434,38684781.007031746
95,1530868.8703800824,18427556.24421058,40041574.8854093
96,1352837.394764467,17328844.489358798,41318318.115876704
97,1204435.365256477,16277315.711308947,42518248.92343454
98,1079956.2900841068,15275216.832982043,43644826.87693381
99,974907.7271637147,14323469.905765576,44701622.36707067
100,885735.5995501524,13422029.217217643,45692235.18323216
101,809613.6144844533,12570150.83174006,46620235.55377545
102,744281.9722726687,11766596.179308621,47489121.84841867
103,687923.8019768918,11009785.212038396,48302290.98598467
104,639070.2030006279,10297911.447279628,49063018.34971971
105,596527.0047548903,9629028.16058671,49774444.83465836
106,559318.063083625,9001112.690659592,50439569.24625674
107,526641.1533257007,8412114.18302247,51061244.66365179
108,497833.51080334967,7859988.741976225,51642177.74722038
109,472344.7756404468,7342725.026064092,52184930.198295414
110,449715.648421795,6858362.574010591,52691921.77756758
111,429560.9678813817,6405004.607559689,53165434.424558885
112,411556.22893913527,5980826.635690789,53607617.13537003
113,395426.79206795164,5584081.871318231,54020491.336613774
114,380939.20082799555,5213104.244316008,54405956.554855965
115,367894.1672332494,4866309.598307166,54765796.23445954
116,356120.87676622445,4542195.533249475,55101683.58998426
117,345472.34416560474,4239340.246418562,55415187.4094158
118,335821.60985374695,3956400.642712267,55707777.74743394
119,327058.6111953698,3692109.9249281078,55980831.46387647
120,319087.5984615132,3445274.8251989787,56235637.57633946
121,311824.99188782764,3214772.6018888955,56473402.40622322
122,305197.59729686007,2999547.898229812,56695254.50447328
123,299141.1168703736,2798609.5320788696,56902249.351050705
124,293598.8963401349,2611027.2806700068,57095373.822989814
125,288520.87341878866,2435928.691672584,57275550.434908584
126,283862.68854926364,2272495.9579566102,57443641.35349408
127,279584.9308669743,2119962.8776256954,57600452.19150728
128,275652.49721577746,1977611.9146502914,57746735.58813389
129,272034.0452044449,1844771.3711836,57883194.583611906
130,268701.5252368925,1720812.6788674472,58010485.795895614
131,265629.77867089934,1605147.8131897494,58129222.408139296
132,262796.1918103003,1497226.832013626,58239976.97617603
133,260180.39718206524,1396535.5384440208,58343284.064373866
134,257764.01468101444,1302593.266296486,58439642.71902246
135,255530.42802375564,1214950.7837923781,58529518.788183816
136,253464.58753380203,1133188.317317699,58613347.09514846
137,251552.8410001679,1056913.6833039823,58691533.475695804
138,249782.78312601167,985760.5317712026,58764456.685102746
139,248143.12545851848,919386.6905731958,58832470.18396824
140,246623.58054660287,857472.6105302356,58895903.80892311
141,245214.760624204,799719.9035218137,58955065.33585394
142,243908.08797958388,745849.9702224334,59010241.94179794
143,242695.7152086986,695602.7127171815,59061701.57207408
144,241570.4550520654,648735.3267274522,59109694.218220435
145,240525.71738268135,605021.170335964,59154453.1122813
146,239555.45356358393,564248.7033833594,59196195.843053006
147,238654.1064228978,526220.4946218762,59235125.39895518
148,237816.56565010414,490752.2921317136,59271431.142218135
149,237038.1277829791,457672.1533706421,59305289.71884633
150,236314.46012990328,426819.63130963274,59336865.90856042
151,235641.56901838278,398045.0129134009,59366313.41806817
152,235015.7699046303,371208.60754442983,59393775.6225509
153,234433.66138161116,346180.0813607103,59419386.257257625
154,233892.10171331617,322837.8350885312,59443270.063198105
155,233388.18657408102,301068.4227809518,59465543.39064492
156,232919.23040206337,280766.00856415654,59486314.761033736
157,232482.74789266667,261831.85900621614,59505685.393101074
158,232076.43836145173,244173.86924397782,59523749.692394525
159,231698.17086829938,227706.1200514034,59540595.70908024
160,231345.9707712972,212348.464359343,59556305.56486931
161,231018.0077124329,198026.14133079484,59570955.85095672
162,230712.5841334624,184669.41542207164,59584618.00044442
163,230428.1253431955,172213.24028381956,59597358.634372935
164,230163.16993540546,160596.94416095392,59609239.88590358
165,229916.36130508952,149763.93685995523,59620319.7018349
166,229686.43974984827,139661.43592249634,59630652.12432761
167,229472.23516137135,130240.21095554085,59640287.55388304
168,229272.66046872915,121454.34552328284,59649272.994007945
169,229086.70539363567,113261.01419435347,59657652.28041196
170,228913.43089880078,105620.27528822067,59665466.29381293
171,228751.96393276815,98494.87686986152,59672753.15919732
172,228601.49262628963,91850.07595617083,59679548.43141748
173,228461.2618812982,85653.469905226,59685885.26821342
