t,s,i,r
84,58993885.17510275,213148.54964579424,792966.2752514556
85,58986211.96026082,205857.14901155693,807930.8907276163
86,58979066.70845374,198559.01072672103,822374.2808195429
87,58972421.45596409,191281.5853350583,836296.9587008575
88,58966248.708806224,184049.97688493595,849701.3143088358
89,58960521.57777832,176886.974384206,862591.4478374707
90,58955213.890956305,169813.10301422412,874973.0060294686
91,58950300.285630256,162846.69151922985,886853.02285051
92,58945756.2816994,156003.9529439131,898239.7653566852
93,58941558.33774006,149299.07639974332,909142.5858601882
94,58937683.8922896,142744.3269030955,919571.7808072994
95,58934111.390992045,136350.15175316978,929538.4572547827
96,58930820.3029161,130125.2904424601,939054.4066414337
97,58927791.12487353,124076.88792428197,948131.9872021886
98,58925005.37784452,118210.60827521452,956784.0138802623
99,58922445.59551916,112530.74780679974,965023.6566740363
100,58920095.30605868,107040.34691617769,972864.347025133
101,58917939.00886465,101741.29933289503,980319.6918024502
102,58915962.146368325,96634.45805305148,987403.3955786183
103,58914151.07296666,91719.73755465649,994129.1894786821
104,58912493.02080389,86996.2110215803,1000510.7681745195
105,58910976.06374579,82462.2036380437,1006561.7326161584
106,58909589.07995457,78115.37979649194,1012295.5402489286
107,58908321.71352029,73952.8260523636,1017725.4604273476
108,58907164.33593538,69971.12789980095,1022864.5361648232
109,58906108.0073596,66166.44187100772,1027725.5507693895
110,58905144.43843145,62534.56186013031,1032320.9997084173
111,58904265.952622615,59070.98044126019,1036663.0669361181
112,58903465.449468575,55770.94520282976,1040763.6053285899
113,58902736.368987024,52629.50986644336,1044634.1211465294
114,58902072.65704701,49641.581195915925,1048285.7617570737
115,58901468.73240857,46801.960781520174,1051729.3068099075
116,58900919.454749376,44105.38328173247,1054975.1619688913
117,58900420.09457264,41546.54995735376,1058033.355470006
118,58899966.30419513,39120.15904540135,1060913.5367594708
119,58899554.09058251,36820.932127489796,1063624.977289999
120,58899179.78940439,34643.63758126721,1066176.5730143415
121,58898840.04075563,32583.110763660494,1068576.8484807052
122,58898531.766219854,30634.271519296788,1070833.9622608395
