date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-04-22,58,103068.94104486732,120069.10025557523,86068.7818341594
2020-04-23,59,101801.73718238212,118592.88418052354,85010.59018424069
2020-04-24,60,100375.3166437214,116931.19028004474,83819.44300739805
2020-04-25,61,98801.92306043218,115098.28164648078,82505.56447438357
2020-04-26,62,97093.97828290805,113108.62898638155,81079.32757943455
2020-04-27,63,95263.9700894016,110976.77980827658,79551.16037052662
2020-04-28,64,93324.34824709033,108717.23734008535,77931.4591540953
2020-04-29,65,91287.42998550531,106344.35041136258,76230.50955964804
2020-04-30,66,89165.3151548123,103872.21461781248,74458.41569181212
2020-05-01,67,86969.81066417736,101314.58429654181,72625.03703181291
2020-05-02,68,84712.36497756613,98684.79621761657,70739.93373751569
2020-05-03,69,82404.0113720316,95995.70348338937,68812.31926067383
2020-05-04,70,80055.32075245243,93259.62056051526,66851.0209443896
2020-05-05,71,77676.36266824488,90488.2778667722,64864.44746971757
2020-05-06,72,75276.67479731001,87692.7862217,62860.563372920034
2020-05-07,73,72865.23991849023,84883.61002090093,60846.86981607954
2020-05-08,74,70450.46995222582,82070.54864436714,58830.39126008449
2020-05-09,75,68040.19666680093,79262.72562981772,56817.66770378414
2020-05-10,76,65641.6679584464,76468.5843392428,54814.75157764999
2020-05-11,77,63261.549863675275,73695.89030315312,52827.20942419743
2020-05-12,78,60905.932733686415,70951.73841338781,50860.12705398502
2020-05-13,79,58580.34212123407,68242.56560566087,48918.118636807274
2020-05-14,80,56289.75260100374,65574.16695946558,47005.3382425419
2020-05-15,81,54038.605218211575,62951.71602464045,45125.494411782696
2020-05-16,82,51830.82689627492,60379.78743013494,43281.866362414905
2020-05-17,83,49669.85237945556,57862.38244586545,41477.32231304567
2020-05-18,84,47558.64738519944,55402.95595379485,39714.338816604024
2020-05-19,85,45499.733290500844,53004.44520605788,37995.02137494381
2020-05-20,86,43495.212324099,50669.299172350846,36321.12547584715
2020-05-21,87,41546.793628835105,48399.508901005785,34694.078356664424
2020-05-22,88,39655.81936511793,46196.637927953554,33115.00080228231
2020-05-23,89,37823.29071863367,44061.85257413731,31584.72886313002
2020-05-24,90,36049.89376788757,41995.95207963846,30103.835456136683
2020-05-25,91,34336.024827465284,39999.39812704764,28672.65152788293
2020-05-26,92,32681.815195607156,38072.3436708963,27291.286720318018
2020-05-27,93,31087.1551692096,36214.660913684915,25959.649424734285
