date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-08-01,159,7.485417400529696,10.249871554104145,4.720963246955248
2020-08-02,160,6.982113820983268,9.560691944332929,4.4035356976336075
2020-08-03,161,6.512252976410638,8.917305871455877,4.1072000813653995
2020-08-04,162,6.073652344176271,8.31672478113044,3.830579907222103
2020-08-05,163,5.664267880845768,7.7561497402400565,3.5723860214514795
2020-08-06,164,5.2821856421931,7.232959962069867,3.3314113223163337
2020-08-07,165,4.925613852868643,6.744701947208312,3.1065257585289743
2020-08-08,166,4.592875428906935,6.289079244527602,2.8966716132862684
2020-08-09,167,4.282400928676861,5.8639427988355095,2.7008590585182124
2020-08-10,168,3.9927219117886787,5.467281857147352,2.5181619664300063
2020-08-11,169,3.7224646572877136,5.097215366933499,2.347713947641929
2020-08-12,170,3.470344289881489,4.7519839330919496,2.1887046466710287
2020-08-13,171,3.2351592101221724,4.429942191130553,2.040376229113792
2020-08-14,172,3.015785868785569,4.129551651661677,1.9020200859094618
2020-08-15,173,2.8111738690869714,3.8493739938078058,1.7729737443661375
2020-08-16,174,2.620341315645598,3.5880646964829324,1.6526179348082637
2020-08-17,175,2.442370504073118,3.3443671360945824,1.5403738720516535
2020-08-18,176,2.2764038200947767,3.1171069711613333,1.4357006690282204
2020-08-19,177,2.121639904835254,2.905186891392887,1.338092918277621
2020-08-20,178,1.977330079707186,2.707581722247175,1.247078437167197
2020-08-21,179,1.8427749339636492,2.5233337522251666,1.1622161157021318
2020-08-22,180,1.7173211872505527,2.3515484367263464,1.0830939377747593
2020-08-23,181,1.600358698247454,2.1913903019448115,1.0093270945500965
2020-08-24,182,1.4913176730441178,2.042079122265915,0.9405562238223207
2020-08-25,183,1.389666075071594,1.9028863736539172,0.8764457764892706
2020-08-26,184,1.2949071413518916,1.7731318326229675,0.8166824500808159
2020-08-27,185,1.2065771146516233,1.6521804708479686,0.7609737584552783
2020-08-28,186,1.1242430774929302,1.5394394892498382,0.7090466657360223
2020-08-29,187,1.0475009327889564,1.4343555528555174,0.6606463127223955
2020-08-30,188,0.9759735382854453,1.3364122362665396,0.6155348403043511
2020-08-31,189,0.9093089111817629,1.2451275652251304,0.5734902571383956
